steps,binomial_price,trinomial_price,binomial_runtime_sec,trinomial_runtime_sec,absolute_price_gap
25,5.843851122353396,5.767031754697335,0.00064649999999844,0.0008726669999994385,0.07681936765606068
50,5.782575750399929,5.780019935607849,0.0006958340000000618,0.0014808339999987652,0.0025558147920801133
75,5.815100487610772,5.786791400850411,0.0013002079999999694,0.002802541000001213,0.0283090867603617
100,5.7911506318575094,5.790123050985941,0.0021376670000012865,0.004777083000000459,0.00102758087156829
125,5.808670325175231,5.792403119521027,0.0031465419999996413,0.0065521249999989095,0.01626720565420392
150,5.79379760379302,5.793580921769811,0.004565458000000078,0.009749666999999462,0.00021668202320856977
175,5.805981933651921,5.794080219755301,0.005838458000001268,0.012278416999999209,0.011901713896619981
200,5.795136369644744,5.794905005101152,0.007642125000000277,0.015873334000000128,0.00023136454359207193
250,5.7958762617998385,5.795645694097346,0.010884417000001534,0.022865166999999076,0.0002305677024923014
300,5.796398710093057,5.796211498738672,0.014918125000001226,0.03140691699999998,0.00018721135438504177
